StringID     DepotID      x            y            demand       ReadyTime    DueDate      ServiceTime
D1           0            8            29           0            0            1000         0
D2           0            29           -8           0            0            1000         0
P1           0            2            24           0            0            1000         0
P2           0            -20          12           0            0            1000         0
P3           0            21           -10          0            0            1000         0
S1           0            2            24           0            0            1000         10
S2           0            -20          12           0            0            1000         10
S3           0            21           -10          0            0            1000         10
C1           D1           -7           6            17           220          240          10
C2           D1           -2           0            16           249          269          10
C3           D1           -1           0            23           257          277          10
C4           D2           21           -17          22           47           67           10
C5           D1           4            -24          21           170          190          10
C6           D2           21           9            11           228          248          10
C7           D2           -3           -10          21           105          125          10
C8           D2           -17          -13          24           148          168          10
C9           D2           -4           -19          20           110          130          10
C10          D2           6            -22          19           22           42           10
C11          D1           -12          -3           11           129          149          10
C12          D2           0            3            21           65           85           10
C13          D2           15           -17          11           138          158          10
C14          D1           13           -15          15           85           105          10
C15          D1           -4           2            13           100          120          10
C16          D1           -19          -1           8            70           90           10
C17          D1           -3           -6           17           181          201          10
C18          D1           1            -8           19           221          241          10
C19          D1           -23          11           13           27           47           10
C20          D2           4            -26          8            83           103          10
C21          D1           -16          3            15           27           47           10
C22          D1           -21          17           13           84           104          10
C23          D2           5            -20          16           229          249          10
C24          D2           -7           -5           6            251          271          10
C25          D2           15           -7           23           211          231          10
C26          D2           -4           8            11           83           103          10
C27          D2           3            -3           19           183          203          10
C28          D1           -26          -13          15           219          239          10
C29          D2           7            24           20           107          127          10
C30          D1           4            -13          14           188          208          10
C31          D2           0            3            17           39           59           10
C32          D2           -3           -2           7            252          272          10
C33          D2           -14          -16          15           64           84           10
C34          D2           -27          -7           13           79           99           10
C35          D2           4            -6           15           142          162          10
C36          D1           4            -13          21           100          120          10
C37          D2           11           -12          25           201          221          10
C38          D2           -23          -1           14           157          177          10
C39          D2           1            -8           12           123          143          10
C40          D2           -13          7            23           123          143          10
C41          D1           15           -8           5            93           113          10
C42          D2           -16          -2           12           177          197          10
C43          D2           8            8            17           105          125          10
C44          D2           1            5            13           116          136          10
C45          D1           -8           11           18           142          162          10
C46          D2           -16          12           11           230          250          10
C47          D1           1            -5           17           92           112          10
C48          D2           7            8            19           159          179          10
C49          D2           -4           -1           13           99           119          10
C50          D2           6            20           14           114          134          10
C51          D1           14           -24          9            123          143          10
C52          D2           -4           3            17           186          206          10
C53          D1           4            4            6            148          168          10
C54          D1           0            -7           18           142          162          10
C55          D2           0            0            20           53           73           10
C56          D2           -8           24           19           89           109          10
C57          D2           7            -8           18           183          203          10
C58          D2           -3           -20          15           79           99           10
C59          D2           0            -9           7            31           51           10
C60          D1           -15          -23          9            157          177          10
C61          D2           23           16           23           146          166          10
C62          D2           -1           3            21           223          243          10
C63          D1           -9           13           12           252          272          10
C64          D2           4            1            14           117          137          10
C65          D1           10           -8           17           54           74           10
C66          D1           -1           -9           6            251          271          10
C67          D1           13           3            15           45           65           10
C68          D1           0            0            8            97           117          10
C69          D2           12           0            17           229          249          10
C70          D2           11           1            17           139          159          10
C71          D2           -23          -14          17           122          142          10
C72          D2           -3           -1           11           188          208          10
C73          D1           -7           -1           8            47           67           10
C74          D1           -19          -17          19           221          241          10
C75          D1           0            2            11           46           66           10
C76          D2           8            16           16           161          181          10
C77          D2           5            0            9            98           118          10
C78          D1           23           9            24           163          183          10
C79          D2           13           -11          8            25           45           10
C80          D2           -6           0            19           260          280          10
C81          D2           13           -19          16           92           112          10
C82          D1           -5           11           12           24           44           10
C83          D1           -2           3            16           172          192          10
C84          D2           -14          12           14           139          159          10
C85          D2           20           11           19           35           55           10
C86          D2           0            27           17           90           110          10
C87          D1           22           -19          24           135          155          10
C88          D2           -4           0            8            153          173          10
C89          D2           -1           -21          6            105          125          10
C90          D2           -6           14           14           45           65           10
C91          D1           -18          1            9            174          194          10
C92          D1           14           -12          8            68           88           10
C93          D1           3            -25          15           253          273          10
C94          D1           9            -14          24           50           70           10
C95          D2           4            18           5            164          184          10
C96          D1           -27          4            11           35           55           10
C97          D2           -8           2            21           70           90           10
C98          D2           16           9            18           239          259          10
C99          D2           -5           -6           8            134          154          10
C100         D1           0            -1           8            128          148          10

Problem Variant                             : 3M-2E-VRP
Distance Metric                             : FLOOR_EUCLIDEAN_DIVISOR
Distance Divisor                            : 6.0
Customer Locations as Transfer Points       : true

First Echelon Vehicle number per depot      : 100
First Echelon Vehicle Capacity (kg)         : 1000
First Echelon Vehicle Velocity (km/h)       : 10
First Echelon Vehicle Fixed Cost            : 60
First Echelon Vehicle Fixed Cost Basis      : PER_DAY
First Echelon Vehicle Variable Cost (€/h)   : 15
First Echelon Vehicle Fuel Cost (€/km)      : 0.56

Second Echelon Vehicle number per parking   : 100
Second Echelon Vehicle Capacity (kg)        : 100
Second Echelon Vehicle Velocity (km/h)      : 15
Second Echelon Vehicle Fixed Cost           : 20
Second Echelon Vehicle Fixed Cost Basis     : PER_DAY
Second Echelon Vehicle Variable Cost (€/h)  : 10
Second Echelon Vehicle Fuel Cost (€/km)     : 0.028
