StringID     DepotID      x            y            demand       ReadyTime    DueDate      ServiceTime
D1           0            8            29           0            0            1000         0
D2           0            29           -8           0            0            1000         0
P1           0            2            24           0            0            1000         0
P2           0            -20          12           0            0            1000         0
P3           0            21           -10          0            0            1000         0
S1           0            2            24           0            0            1000         10
S2           0            -20          12           0            0            1000         10
S3           0            21           -10          0            0            1000         10
C1           D2           13           -19          20           92           112          10
C2           D2           -4           -19          20           110          130          10
C3           D1           -7           6            10           220          240          10
C4           D1           10           -8           20           54           74           10
C5           D1           9            -14          10           50           70           10
C6           D2           -4           8            10           83           103          10
C7           D1           -3           -6           20           181          201          10
C8           D2           4            1            10           117          137          10
C9           D1           -5           11           20           24           44           10
C10          D2           -14          12           10           139          159          10
C11          D2           -6           14           20           45           65           10
C12          D2           3            -3           20           183          203          10
C13          D2           6            20           20           114          134          10
C14          D1           -7           -1           20           47           67           10
C15          D2           15           -7           20           211          231          10
C16          D1           -15          -23          10           157          177          10
C17          D1           0            -1           20           128          148          10
C18          D1           -19          -17          10           221          241          10
C19          D2           4            -26          10           83           103          10
C20          D2           -7           -5           20           251          271          10
C21          D1           0            0            20           97           117          10
C22          D1           -21          17           10           84           104          10
C23          D2           20           11           20           35           55           10
C24          D2           -8           2            20           70           90           10
C25          D2           -8           24           20           89           109          10
C26          D2           0            -9           10           31           51           10
C27          D1           -1           0            10           257          277          10
C28          D1           15           -8           20           93           113          10
C29          D1           -2           0            10           249          269          10
C30          D2           0            3            20           39           59           10
C31          D2           -3           -20          20           79           99           10
C32          D1           13           3            20           45           65           10
C33          D2           1            -8           20           123          143          10
C34          D2           -3           -1           20           188          208          10
C35          D2           -16          -2           10           177          197          10
C36          D2           -5           -6           20           134          154          10
C37          D2           -17          -13          10           148          168          10
C38          D2           5            -20          10           229          249          10
C39          D1           -26          -13          20           219          239          10
C40          D2           4            -6           10           142          162          10
C41          D2           -3           -2           20           252          272          10
C42          D2           8            8            10           105          125          10
C43          D2           -1           -21          10           105          125          10
C44          D2           -4           3            20           186          206          10
C45          D1           0            -7           10           142          162          10
C46          D2           16           9            20           239          259          10
C47          D2           -6           0            10           260          280          10
C48          D1           0            2            20           46           66           10
C49          D1           14           -12          10           68           88           10
C50          D2           11           1            10           139          159          10
C51          D2           -16          12           20           230          250          10
C52          D1           4            -24          10           170          190          10
C53          D1           4            4            20           148          168          10
C54          D2           -23          -14          10           122          142          10
C55          D1           -18          1            10           174          194          10
C56          D1           -27          4            10           35           55           10
C57          D1           -2           3            20           172          192          10
C58          D2           7            8            10           159          179          10
C59          D1           4            -13          20           188          208          10
C60          D2           1            5            20           116          136          10
C61          D1           -12          -3           20           129          149          10
C62          D2           8            16           10           161          181          10
C63          D2           -3           -10          10           105          125          10
C64          D1           -1           -9           10           251          271          10
C65          D1           -9           13           10           252          272          10
C66          D2           6            -22          20           22           42           10
C67          D1           -23          11           20           27           47           10
C68          D1           23           9            10           163          183          10
C69          D1           -4           2            10           100          120          10
C70          D2           23           16           20           146          166          10
C71          D2           -13          7            10           123          143          10
C72          D2           12           0            20           229          249          10
C73          D2           21           -17          20           47           67           10
C74          D2           0            0            20           53           73           10
C75          D2           11           -12          20           201          221          10
C76          D2           -27          -7           20           79           99           10
C77          D1           14           -24          20           123          143          10
C78          D2           5            0            10           98           118          10
C79          D2           21           9            20           228          248          10
C80          D2           0            27           10           90           110          10
C81          D2           -14          -16          10           64           84           10
C82          D1           13           -15          20           85           105          10
C83          D1           22           -19          10           135          155          10
C84          D1           1            -8           10           221          241          10
C85          D1           -19          -1           20           70           90           10
C86          D2           13           -11          20           25           45           10
C87          D2           7            24           10           107          127          10
C88          D2           0            3            10           65           85           10
C89          D2           15           -17          20           138          158          10
C90          D2           7            -8           20           183          203          10
C91          D1           -8           11           20           142          162          10
C92          D1           1            -5           20           92           112          10
C93          D1           4            -13          20           100          120          10
C94          D2           4            18           20           164          184          10
C95          D2           -4           -1           20           99           119          10
C96          D1           3            -25          20           253          273          10
C97          D2           -4           0            10           153          173          10
C98          D2           -23          -1           20           157          177          10
C99          D2           -1           3            10           223          243          10
C100         D1           -16          3            20           27           47           10

Problem Variant                             : DELLAERT-2E-VRP
Distance Metric                             : RAW_EUCLIDEAN
Distance Divisor                            : 1.0
Customer Locations as Transfer Points       : false

First Echelon Vehicle number per depot      : 100
First Echelon Vehicle Capacity (kg)         : 200
First Echelon Vehicle Velocity (km/h)       : 60
First Echelon Vehicle Fixed Cost            : 50
First Echelon Vehicle Fixed Cost Basis      : PER_TOUR
First Echelon Vehicle Variable Cost (€/h)   : 0
First Echelon Vehicle Fuel Cost (€/km)      : 1.0

Second Echelon Vehicle number per parking   : 100
Second Echelon Vehicle Capacity (kg)        : 50
Second Echelon Vehicle Velocity (km/h)      : 60
Second Echelon Vehicle Fixed Cost           : 25
Second Echelon Vehicle Fixed Cost Basis     : PER_TOUR
Second Echelon Vehicle Variable Cost (€/h)  : 0
Second Echelon Vehicle Fuel Cost (€/km)     : 1.0
